Sitename:Sedgwick Grass Site
Location: Latitude:   34.6991348 - Longitude: -120.0526886 - Elevation (masl):   367.
Principal investigator: 
Ecosystem type: 
File creation date: 2019-03-28T08:16
Datapolicy:  -- The AmeriFlux data provided on this site are freely available and were furnished by individual AmeriFlux scientists who encourage their use.
Please kindly inform in writing (or e-mail) the appropriate AmeriFlux scientist(s) of how you intend to use the data and of any publication plans.
It is also important to contact the AmeriFlux investigator to assure you are downloading the latest revision of the data and to prevent potential misuse or misinterpretation of the data.
Please acknowledge the data source as a citation or in the acknowledgments if no citation is available.
If the AmeriFlux Principal Investigators (PIs) feel that they should be acknowledged or offered participation as authors they will let you know.
And we assume that an agreement on such matters will be reached before publishing and/or use of the data for publication.
If your work directly competes with the PIs analysis they may ask that they have the opportunity to submit a manuscript before you submit one that uses unpublished data.
In addition when publishing please acknowledge the agency that supported the research. --
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
YEAR,GAP,DTIME,DOY,HRMIN,UST,TA,WD,WS,NEE,FC,SFC,H,SH,LE,SLE,FG,TS1,TSdepth1,TS2,TSdepth2,PREC,RH,PRESS,CO2,VPD,SWC1,SWC2,Rn,PAR,Rg,Rgdif,PARout,RgOut,Rgl,RglOut,H2O,RE,GPP,CO2top,CO2height,APAR,PARdif,APARpct,ZL
 2019,0,86.333280000000002,86,800,5.9784914973341867E-002,7.3278127373589541,123.79128768349246,1.3036047379112043,5.6632034772923321,5.6632034772923321,0.0000000000000000,-3.6201897877725608,-0.0000000000000000,-1.4169465820034306,-0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,94.511982916666668,97.669562890625002,472.66119268299707,5.6069818987964939E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,9.8838205348617407,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-3.9708439902568241E-002
 2019,0,86.437430000000006,86,1030,9.2509030946351239E-002,8.4847168986003112,121.07815058188507,0.92872487636181111,-6999.0000000000000,6.9006702999700789,-9999.0000000000000,-11.090622043214037,-9999.0000000000000,-0.78229769743881727,-9999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,95.136906666666661,97.634615720486110,469.78399193984160,5.3758862412936877E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,10.768772228658209,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-3.2837250269086314E-002
 2019,0,86.458259999999996,86,1100,8.7336533341791853E-002,9.0176386854383850,122.02842820873833,0.92399405906017829,5.4078808751092931,5.4078808751092931,0.0000000000000000,0.45957550641374106,0.0000000000000000,7.9418804101764691,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,95.136906666666661,97.604652419704863,473.93471540300976,5.5732479138062903E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,11.167546908016378,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,1.6173121875357401E-003
 2019,0,86.479089999999999,86,1130,7.6252034081607772E-002,9.0623888142903866,121.14057148535757,1.1833221931633400,3.0548731184875910,3.0548731184875910,0.0000000000000000,-2.0990811657756132,0.0000000000000000,0.69095175664148789,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,95.136906666666661,97.567915512152780,477.03319074785702,5.5901075827108571E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,11.205547525348294,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-1.1102310029276748E-002
 2019,0,86.499920000000003,86,1200,7.8666123529995732E-002,9.1858503214518237,126.55176599699203,1.3193145665324155,3.4522871837367464,3.4522871837367464,-0.0000000000000000,-4.0493255373579329,0.0000000000000000,7.2266141801370309E-002,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,95.136906666666661,97.555154960937514,475.63558987624253,5.6368551473274922E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,11.300732479270280,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-1.9506996535853475E-002
 2019,0,86.604070000000007,86,1430,2.5039501451534822E-002,10.952791798909516,94.316289745017954,0.19180913997021037,-6999.0000000000000,1.7146818601997211,-9999.0000000000000,0.44915326694400615,-9999.0000000000000,3.8293926555673434,-9999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,93.267923333333329,97.654345709635408,479.39563723072797,8.7830464728963997E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,12.457198382755486,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,6.7030653112730890E-002
 2019,0,86.624899999999997,86,1500,7.6643259927190358E-002,11.331219618055570,123.56764670804341,0.33862534712871090,-2.1887143300991698,-2.1887143300991698,-0.0000000000000000,4.2965316913398421,0.0000000000000000,25.143773506525182,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,93.267923333333329,97.689670581597227,478.50601985718561,9.0064517114424925E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,12.769440073240981,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,2.2351849715941893E-002
 2019,0,86.645730000000000,86,1530,0.14890142290108507,11.485788709852443,101.29212404399634,0.19289791590296182,11.362496366018705,11.362496366018705,-0.0000000000000000,2.7341696092290322,0.0000000000000000,55.921525252292177,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,93.267923333333329,97.747848467881951,450.60911453687589,9.0991303782034044E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,12.893162477359949,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,1.9388807701596394E-003
 2019,0,86.666560000000004,86,1600,0.13020735005604259,11.398033786349856,310.12942981567869,0.40217968771255852,0.77719695395379440,0.77719695395379440,-0.0000000000000000,-27.775275902191140,-0.0000000000000000,62.246478310695885,-0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,93.267923333333329,97.779989441337918,448.38685466727253,9.0464106434910263E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,12.814246863472979,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-2.9449554846364627E-002
 2019,0,86.770710000000008,86,1830,0.21118347261766759,14.546117078993063,19.410584728412232,0.54914643087962411,-6999.0000000000000,-8.9881713087487043,-9999.0000000000000,91.904601557336733,-9999.0000000000000,172.94530007735364,-9999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,83.382536249999987,97.854515531684029,407.58611127481242,0.27436791958879464,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,14.065213883948692,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,2.2820701034134732E-002
 2019,0,86.791539999999998,86,1900,0.34059314160368381,15.742366722954671,320.40908020470602,1.1157160063043596,-13.310696364234524,-13.310696364234524,0.0000000000000000,168.16498804651144,0.0000000000000000,264.70013687736110,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,83.382536249999987,97.855231762152783,412.22136291525823,0.29630723933975539,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,15.189801340052176,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,9.9518081288048066E-003
 2019,0,86.812370000000001,86,1930,0.26886053061799781,16.384197150336377,315.61132156412441,1.8700956169614311,-22.183269944704229,-22.183269944704229,0.0000000000000000,170.74117625647938,0.0000000000000000,351.24187795982868,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,83.382536249999987,97.827406167534718,413.37675463634895,0.30870133084855661,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,15.829669398870053,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,2.0543071498099270E-002
 2019,0,86.833200000000005,86,2000,0.30939102959622422,16.712172936333559,314.93850544613451,1.8387226620704489,-17.237058231233984,-17.237058231233984,-0.0000000000000000,215.29614786940991,0.0000000000000000,406.42458260749777,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,83.382536249999987,97.812132719184021,408.07353131486485,0.31520850847921156,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,16.165870113981679,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,1.6999705816258915E-002
 2019,0,86.937350000000009,86,2230,0.52311644618814312,18.479136539035380,18.857350145205118,0.44238380845536429,-6999.0000000000000,-20.830535714728473,-9999.0000000000000,295.43857214967170,-9999.0000000000000,307.26421892982387,-9999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,62.482918749999996,97.777851525607630,409.48501242615924,0.79555959189570835,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,13.547152240971371,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.8293762489293925E-003
 2019,0,86.958179999999999,86,2300,0.38029920583580545,17.669951833089215,315.36732198250070,1.4531751742935586,-19.016794490215759,-19.016794490215759,-0.0000000000000000,184.47539237544430,-0.0000000000000000,223.83626448037825,-0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,62.482918749999996,97.781780868055563,408.59821468489798,0.75611137251682414,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,12.874892540631137,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,7.8492158131713580E-003
 2019,0,86.979010000000002,86,2330,0.43545610801838941,17.547818213568803,3.9622823400454195,0.51936768494149255,-14.908767560676512,-14.908767560676512,0.0000000000000000,179.27910783632638,-0.0000000000000000,162.20982003945608,-0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,62.482918749999996,97.781625332031254,408.84733763017459,0.75030871346554529,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,12.776106503846931,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,5.0812383691665047E-003
 2019,0,87.000000000000000,87,000,0.40682264726119183,17.219650895860468,332.10795525551737,1.5021952551902613,-14.756479753038866,-14.756479753038866,0.0000000000000000,180.29342475481712,-0.0000000000000000,176.86950964375040,-0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,62.482918749999996,97.768982992621531,409.00926160996408,0.73491013299660013,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,12.515520710857189,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,6.2675822799220481E-003
